list_name,local_work_id,canonical_title,document_type,mapping_status,mapping_confidence,primary_identifier_type,primary_identifier,ol_work_key,openlibrary_action,local_pdf_count,local_paths_json
Conpes Movilidad Sostenible,OLP-05513FA2D4E37FDF,Documento CONPES 3991: Política Nacional de Movilidad Urbana y Regional,report,AUTHORITY_MAPPED,1.000,url,https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/3991.pdf,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Conpes Movilidad Sostenible/Conpes_3991.pdf""]"
Desarrollo orientado al tranporte sustentable,OLP-D77477A4D388B6B0,Manual: Desarrollo Orientado al Transporte Sustentable (DOTS),manual,AUTHORITY_MAPPED,1.000,url,https://es.wri.org/publicaciones/manual-desarrollo-orientado-al-transporte-sustentable,,CREATE_RECORD_CANDIDATE,8,"[""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_bibliografia_glosario_creditos.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_Quienes_Participan_Agradecimientos.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion1_porque_importante.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion2_a_que_es.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion2_b_que_es.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion3_como_hacer.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion4_hacia_donde_vamos_0.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/Teoria DOTS/Desarrollo orientado al tranporte sustentable/DOTS_seccion5_anexos.pdf""]"
DOT estándar,OLP-85AB90E8B5FAB2BB,Performance-Based Transit-Oriented Development Typology Guidebook,guidebook,AUTHORITY_MAPPED,1.000,url,https://trid.trb.org/View/1097129,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf""]"
DOT estándar,OLP-51E642A9964AB05B,"TOD Standard, Version 2.1",manual,AUTHORITY_MAPPED,1.000,url,https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf,,CREATE_RECORD_CANDIDATE,3,"[""5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1.pdf"", ""5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/ITDP TOD Standard_Final_ITDP.pdf""]"
DOTS América Latina,OLP-2105907BF1D027D1,Bus rapid transit impacts on land uses and development over time in Bogotá and Quito,journal-article,AUTHORITY_MAPPED,0.948,doi,10.5198/jtlu.2022.1888,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/VergelTovar-Busrapidtransit-2022.pdf""]"
DOTS América Latina,OLP-CB3DFDBF714E54AE,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",consultant-report,AUTHORITY_MAPPED,1.000,isbn_13,9789804221279,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/1 Creacion y captura de valor para el desarrollo de proyectos de transporte-28feb.pdf""]"
DOTS América Latina,OLP-464646C12F911A65,Desarrollo orientado al transporte: una evaluación de tendencias y oportunidades para América Latina,discussion-paper,AUTHORITY_MAPPED,1.000,doi,10.18235/0003802,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS_Latam.pdf""]"
DOTS América Latina,OLP-0E0DB8DBE0E26A16,Desarrollo urbano orientado a los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Quito y Bogotá,working-paper,AUTHORITY_MAPPED,1.000,url,https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2456_1803_Rodriguez%20WP14DR1SP.pdf,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Rodriguez Vergel 2014Mar13 BRT-OD Bogota Quito.pdf""]"
DOTS América Latina,OLP-F7F89E82B5B53BA6,DOTS Cidades: Manual de Desenvolvimento Urbano Orientado ao Transporte Sustentável,manual,AUTHORITY_MAPPED,1.000,url,https://www.mpsp.mp.br/portal/page/portal/documentacao_e_divulgacao/doc_biblioteca/bibli_servicos_produtos/BibliotecaDigital/BibDigitalLivros/TodosOsLivros/DOTS_Cidades--Manual_de_Desenvolvimento_Urbano_Orientado_ao_Transporte_Sustentavel.pdf,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Cidades - EMBARQ Brasil.pdf""]"
DOTS América Latina,OLP-BA8A881E724F2379,"Economy, Environment & Culture in Latin America: A Comparative Study of National Planning in Brazil and Mexico",book,AUTHORITY_MAPPED,1.000,isbn_13,9786139845675,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Economy, environment and culture in Latin America - David Edelman.pdf""]"
DOTS América Latina,OLP-D0DCBDFD40A25E71,"Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito",journal-article,AUTHORITY_MAPPED,1.000,doi,10.7764/eure.49.148.11,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2023_BRT_Quito.pdf""]"
DOTS América Latina,OLP-5CCF7F50FA036425,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",journal-article,AUTHORITY_MAPPED,1.000,doi,10.22320/07183607.2021.24.43.08,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_tren_Santiago.pdf""]"
DOTS América Latina,OLP-CE03A237F557C0F3,Estimation of a Location Model of Land Uses in the City of Bogotá for the Assessment of a Transit-Oriented Development (TOD) Scheme in a BRT Corridor,dissertation,AUTHORITY_MAPPED,1.000,local_work,OLP-CE03A237F557C0F3,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/U Andes David Melendez Th II  Eng 8 Final.pdf""]"
DOTS América Latina,OLP-FF64695BFF73641D,"Factores determinantes de la relación entre la localización de las empresas, la dinámica del transporte público tipo BRT y el desarrollo urbano",journal-article,AUTHORITY_MAPPED,1.000,doi,10.24201/edu.v37i3.2048,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2022_Factores_BRT_Latam.pdf""]"
DOTS América Latina,OLP-CEFD6255E5CA8AAB,Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano,dissertation,AUTHORITY_MAPPED,1.000,url,https://hdl.handle.net/10669/87649,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2022_DOTS__Costa_Rica.pdf""]"
DOTS América Latina,OLP-271A3923F43E58F6,Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers,presentation,AUTHORITY_MAPPED,1.000,local_work,OLP-271A3923F43E58F6,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Improving Coordination of Transportation and Land-Use Planning in Latin American Cities.pdf""]"
DOTS América Latina,OLP-C6EB682181E2B8E5,Integración de Transporte no Motorizado y DOTS,book,AUTHORITY_MAPPED,1.000,isbn_13,9789585767454,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Integración de transporte no motorizado y DOTS 2014.pdf""]"
DOTS América Latina,OLP-7D98B5692364F405,"Managing the Urban Environment - Lima, Peru",book,AUTHORITY_MAPPED,1.000,isbn_13,9786137341308,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Managing the urban environment - Lima, Peru - David Edelman.pdf""]"
DOTS América Latina,OLP-1517DE7AA69C86B2,"Managing the Urban Environment - Santo Domingo, the Dominican Republic",book,AUTHORITY_MAPPED,1.000,isbn_13,9786139446896,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/Managing the urban environment - Santo Domingo, DomRep - David Edelman.pdf""]"
DOTS América Latina,OLP-D77477A4D388B6B0,Manual: Desarrollo Orientado al Transporte Sustentable (DOTS),manual,AUTHORITY_MAPPED,1.000,url,https://es.wri.org/publicaciones/manual-desarrollo-orientado-al-transporte-sustentable,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/TOD manual spanish.pdf""]"
DOTS América Latina,OLP-5929B1A8D5477EF2,Plan de internacionalización de la ciudad de Salta mediante el desarrollo orientado al transporte,dissertation,AUTHORITY_MAPPED,1.000,url,https://repositorio.21.edu.ar/handle/ues21/28467,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2022_DOTS_Salta.pdf""]"
DOTS América Latina,OLP-0FCF4A92675AB64E,Transit-oriented development and gentrification: a systematic review,journal-article,AUTHORITY_MAPPED,1.000,doi,10.1080/01441647.2019.1649316,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2019_TOD_Gentrification.pdf""]"
DOTS América Latina,OLP-2B74183125A5B44B,Transportation Oriented Development Method: literature review,journal-article,AUTHORITY_MAPPED,1.000,doi,10.1088/1755-1315/1141/1/012002,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2023_TODS_literature_review.pdf""]"
